,No.,material,Formula,CrystalSystem,bulk,shear,young,poisson,Hexp,best,y_cs,y_gap,y_den,y_csbg,y_csden,y_bgden,best-corrected-H4
113,114,mp-361,Cu2O,cubic,111.3,8.6,25.1,0.46,2.0,H3,H1a,H1a,H4,H5,H1a,H4,H3
114,115,mp-649774,CuSbPbS3,orthorhombic,21.1,13.3,32.9,0.24,1.9,H1a,H2,H1a,H4,H2,H4,H4,H1a
115,116,mp-3497,FeCuS2,tetragonal,55.9,19.2,51.7,0.35,1.9,H4,H4,H4,H4,H4,H4,H4,H4
116,117,mp-10695,ZnS,cubic,68.7,33.3,85.8,0.29,1.8,H2,H1a,H2,H4,H2,H1a,H2,H2
117,118,mp-10519,Cu2SnS3,monoclinic,65.9,27.2,71.8,0.32,1.8,H5,H4,H1a,H4,H4,H4,H4,H5
118,119,mp-2273,Ag3Sb,orthorhombic,64.9,16.9,46.8,0.38,1.7,H4,H2,H4,H4,H4,H1a,H4,H4
119,120,mp-22795,Pb2Au,tetragonal,57.2,12.6,35.1,0.4,1.5,H4,H4,H4,H4,H4,H3,H4,H1a
120,121,mp-1190,ZnSe,cubic,58.7,27.4,71.1,0.3,1.4,H2,H1a,H1a,H4,H5,H1a,H4,H2
121,122,mp-504,CuS,hexagonal,80.1,24.5,66.5,0.36,1.3,H2,H4,H4,H4,H4,H4,H4,H2
122,123,mp-11,As,trigonal,40.6,28.0,68.2,0.22,1.2,H2,H2,H4,H4,H2,H4,H4,H2
123,124,mp-782,Te2Pd,trigonal,52.8,21.6,57.1,0.32,1.1,H2,H2,H4,H4,H2,H4,H4,H5
124,125,mp-2176,ZnTe,cubic,46.0,22.7,58.5,0.29,1.0,H2,H1a,H1a,H4,H5,H1a,H4,H2
125,126,mp-1193675,B,orthorhombic,223.4,235.9,523.4,0.11,50.0,H5,H2,H1a,H2,H2,H2,H5,H5
126,127,mp-8204,LiAlB14,orthorhombic,194.3,188.3,427.0,0.13,26.5,H1b,H2,H1a,H2,H2,H2,H5,H1b
127,128,mp-34763,NaAlB14,orthorhombic,192.9,196.7,440.5,0.12,25.5,H1b,H2,H1a,H2,H2,H2,H5,H1b
128,129,mp-973391,LiSiB6,orthorhombic,163.5,140.6,327.8,0.17,20.3,H1b,H2,H1a,H2,H2,H2,H5,H1b
129,130,mp-19502,BaTi18Mn3O38,trigonal,129.0,82.1,203.2,0.24,15.5,H3,H2,H4,H4,H2,H4,H4,H4
130,131,mp-561551,Y2Si2O7,monoclinic,105.0,58.9,148.8,0.26,14.0,H3,H4,H2,H2,H2,H1b,H2,H3
131,132,mp-759686,BeAlSiHO5,monoclinic,146.5,91.3,226.8,0.24,13.1,H5,H4,H2,H2,H2,H1b,H2,H5
132,133,mp-3285,Na2Ta4O11,trigonal,153.5,44.7,122.2,0.37,12.7,H3,H2,H2,H4,H2,H4,H2,H3
133,134,mp-558986,CaMn6SiO12,tetragonal,203.7,84.3,222.3,0.32,12.1,H2,H4,H1a,H4,H1a,H4,H4,H2
134,135,mp-19770,Fe2O3,trigonal,259.4,68.6,189.2,0.38,10.5,H1a,H2,H4,H4,H2,H4,H4,H1a
135,136,mp-1205321,PtS,tetragonal,144.6,49.4,133.0,0.35,10.1,H3,H4,H1a,H4,H1a,H3,H3,H3
136,137,mp-3224,Mn7SiO12,tetragonal,207.2,85.4,225.2,0.32,10.0,H4,H4,H1a,H4,H1a,H4,H4,H4
137,138,mp-558553,Sr4Ti5(Si2O11)2,monoclinic,126.9,57.0,148.8,0.3,7.1,H2,H4,H2,H4,H2,H4,H2,H2
138,139,mp-1191211,TiVO4,monoclinic,145.7,73.0,187.7,0.29,6.5,H5,H4,H1a,H4,H4,H4,H4,H5
139,140,mp-6763,K2Ti(Si2O5)3,triclinic,72.0,38.9,98.9,0.27,5.5,H5,H5,H2,H2,H5,H5,H2,H5
140,141,mp-556753,V2Cu5(HO3)4,triclinic,49.9,26.7,67.9,0.27,4.4,H3,H5,H1a,H4,H5,H4,H4,H3
141,142,mp-1204830,As9Pb5S18,triclinic,12.9,6.4,16.4,0.29,1.8,H3,H5,H4,H4,H4,H4,H4,H3
142,143,mp-1196185,V4Cu9(ClO9)2,triclinic,39.4,24.0,59.9,0.25,1.7,H2,H5,H4,H4,H4,H4,H4,H2
